ID,Name,Price in USD,Price in SGD
110/162,Forrestress [Metal] [U - Uncommon] (Reverse Holo),0.35,1.0
111/162,Scizor ex [Metal] [RR - Double Rare] (Foil),1.49,2.0
112/162,Mawile [Metal] [C - Common] (Non-Foil),0.25,0.5
112/162,Mawile [Metal] [C - Common] (Reverse Holo),0.35,1.0
113/162,Beldum [Metal] [C - Common] (Non-Foil),0.25,0.5
113/162,Beldum [Metal] [C - Common] (Reverse Holo),0.39,1.0
114/162,Metang [Metal] [C - Common] (Non-Foil),0.49,0.7
114/162,Metang [Metal] [C - Common] (Reverse Holo),0.49,1.0
115/162,Metagross [Metal] [U - Uncommon] (Non-Foil),0.25,0.5
115/162,Metagross [Metal] [U - Uncommon] (Reverse Holo),0.35,1.0
116/162,Meltan [Metal] [C - Common] (Non-Foil),0.25,0.5
116/162,Meltan [Metal] [C - Common] (Reverse Holo),0.35,1.0
117/162,Melmetal [Metal] [R - Rare] (Foil),0.35,0.5
117/162,Melmetal [Metal] [R - Rare] (Reverse Holo),0.35,1.0
118/162,Iron Threads [Metal] [U - Uncommon] (Non-Foil),0.25,0.5
118/162,Iron Threads [Metal] [U - Uncommon] (Reverse Holo),0.49,1.0
119/162,Koraidon [Dragon] [R - Rare] (Foil),0.49,0.7
119/162,Koraidon [Dragon] [R - Rare] (Reverse Holo),0.59,1.0
120/162,Koraidon ex [Dragon] [RR - Double Rare] (Foil),1.49,2.0
121/162,Miraidon [Dragon] [R - Rare] (Foil),0.49,0.7
121/162,Miraidon [Dragon] [R - Rare] (Reverse Holo),0.39,1.0
122/162,Miraidon ex [Dragon] [RR - Double Rare] (Foil),1.49,2.0
123/162,Raging Bolt ex [Dragon] [RR - Double Rare] (Foil),5.49,7.4
124/162,Lickitung [Colorless] [C - Common] (Non-Foil),0.25,0.5
124/162,Lickitung [Colorless] [C - Common] (Reverse Holo),0.35,1.0
125/162,Lickilicky [Colorless] [C - Common] (Non-Foil),0.25,0.5
125/162,Lickilicky [Colorless] [C - Common] (Reverse Holo),0.35,1.0
126/162,Hoothoot [Colorless] [C - Common] (Non-Foil),0.25,0.5
126/162,Hoothoot [Colorless] [C - Common] (Reverse Holo),0.35,1.0
127/162,Noctowl [Colorless] [C - Common] (Non-Foil),0.25,0.5
