ID,Name,Price in USD,Price in SGD
185/182,Toedscruel IR (Foil),0.35,0.5
186/182,Magby IR (Foil),0.25,0.5
187/182,Iron Moth IR (Foil),0.35,0.5
188/182,Snorunt IR (Foil),0.35,0.5
189/182,Mantyke IR (Foil),0.79,1.1
190/182,Vanillish IR (Foil),0.65,0.9
191/182,Wimpod IR (Foil),0.35,0.5
192/182,Veluza IR (Foil),0.49,0.7
193/182,Plusle IR (Foil),0.49,0.7
194/182,Minun IR (Foil),0.35,0.5
195/182,Blitzle IR (Foil),1.99,2.7
196/182,Joltik IR (Foil),1.99,2.7
197/182,Espathra IR (Foil),3.99,5.4
198/182,Gimmighoul IR (Foil),8.99,12.1
199/182,Groudon IR (Foil),3.99,5.4
200/182,Mienshao IR (Foil),4.99,6.7
201/182,Minior IR (Foil),5.99,8.0
202/182,Garganacl IR (Foil),6.99,9.4
203/182,Slither Wing IR (Foil),4.99,6.7
204/182,Garbodor IR (Foil),3.49,4.7
205/182,Yveltal IR (Foil),12.99,17.4
206/182,Morpeko IR (Foil),10.99,14.8
207/182,Brute Bonnet IR (Foil),2.49,3.3
208/182,Steelix IR (Foil),7.99,10.7
209/182,Ferrothorn IR (Foil),4.99,6.7
210/182,Aegislash IR (Foil),7.99,10.7
211/182,Aipom IR (Foil),59.99,80.6
212/182,Loudred IR (Foil),5.99,8.0
213/182,Swablu IR (Foil),7.99,10.7
214/182,Porygon-Z IR (Foil),3.49,4.7
215/182,Cyclizar IR (Foil),4.49,6.0
216/182,Iron Jugulis IR (Foil),7.49,10.1
217/182,Froslass ex SR (Foil),15.99,21.5
218/182,Armarouge ex SR (Foil),13.99,18.8
219/182,Garchomp ex SR (Foil),5.49,7.4
220/182,Tsareena ex SR (Foil),24.99,33.6
221/182,Golisopod ex SR (Foil),4.89,6.6
222/182,Tapu Koko ex SR (Foil),3.49,4.7
223/182,Iron Hands ex SR (Foil),5.99,8.0
224/182,Cofagrigus ex SR (Foil),9.99,13.4
225/182,Iron Valiant ex SR (Foil),4.99,6.7
226/182,Hoopa ex SR (Foil),6.99,9.4
227/182,Toxtricity ex SR (Foil),3.99,5.4
228/182,Sandy Shocks ex SR (Foil),4.99,6.7
229/182,Roaring Moon ex SR (Foil),2.99,4.0
230/182,Aegislash ex SR (Foil),2.49,3.3
231/182,Gholdengo ex SR (Foil),6.49,8.7
232/182,Altaria ex SR (Foil),3.49,4.7
233/182,Maushold ex SR (Foil),1.69,2.3
234/182,Bombirdier ex SR (Foil),1.79,2.4
235/182,Larry SR (Foil),19.99,26.9
236/182,Mela SR (Foil),1.89,2.5
237/182,Norman SR (Foil),3.99,5.4
238/182,Parasol Lady SR (Foil),3.49,4.7
239/182,Professor Sada's Vitality SR (Foil),2.99,4.0
240/182,Professor Turo's Scenario SR (Foil),5.99,8.0
241/182,Rika SR (Foil),5.99,8.0
242/182,Roark SR (Foil),1.49,2.0
243/182,Shauntal SR (Foil),4.99,6.7
244/182,Tulip SR (Foil),2.99,4.0
245/182,Garchomp ex SIR (Foil),6.49,8.7
246/182,Golisopod ex SIR (Foil),1.49,2.0
247/182,Tapu Koko ex SIR (Foil),1.99,2.7
248/182,Iron Hands ex SIR (Foil),5.99,8.0
249/182,Iron Valiant ex SIR (Foil),1.49,2.0
250/182,Sandy Shocks ex SIR (Foil),6.99,9.4
251/182,Roaring Moon ex SIR (Foil),13.99,18.8
252/182,Gholdengo ex SIR (Foil),7.99,10.7
253/182,Altaria ex SIR (Foil),4.99,6.7
254/182,Mela SIR (Foil),1.79,2.4
255/182,Parasol Lady SIR (Foil),1.79,2.4
256/182,Professor Sada's Vitality SIR (Foil),4.49,6.0
257/182,Professor Turo's Scenario SIR (Foil),19.99,26.9
258/182,Rika SIR (Foil),12.99,17.4
259/182,Tulip SIR (Foil),16.99,22.8
260/182,Garchomp ex UR (Foil),27.99,37.6
261/182,Iron Valiant ex UR (Foil),28.99,38.9
262/182,Roaring Moon ex UR (Foil),9.99,13.4
263/182,Beach Court UR (Foil),69.99,94.0
264/182,Counter Catcher UR (Foil),22.99,30.9
265/182,Luxurious Cape UR (Foil),34.99,47.0
266/182,Reversal Energy UR (Foil),10.99,14.8
