ID,Name,Price in USD,Price in SGD
125/167,Revavroom [Metal] [U - Uncommon] (Non-Foil),0.25,0.5
125/167,Revavroom [Metal] [U - Uncommon] (Reverse Holo),0.39,1.0
126/167,Applin [Dragon] [C - Common] (Non-Foil),0.25,0.5
126/167,Applin [Dragon] [C - Common] (Reverse Holo),0.49,1.0
127/167,Dipplin [Dragon] [U - Uncommon] (Non-Foil),0.25,0.5
127/167,Dipplin [Dragon] [U - Uncommon] (Reverse Holo),0.39,1.0
128/167,Dreepy [Dragon] [C - Common] (Non-Foil),0.25,0.5
128/167,Dreepy [Dragon] [C - Common] (Reverse Holo),0.79,1.1
129/167,Drakloak [Dragon] [C - Common] (Non-Foil),1.49,2.0
129/167,Drakloak [Dragon] [C - Common] (Reverse Holo),1.19,1.6
130/167,Dragapult ex [Dragon] [RR - Double Rare] (Foil),10.99,14.8
131/167,Tatsugiri [Dragon] [U - Uncommon] (Non-Foil),0.25,0.5
131/167,Tatsugiri [Dragon] [U - Uncommon] (Reverse Holo),0.25,1.0
132/167,Farfetch'd [Colorless] [C - Common] (Non-Foil),0.25,0.5
132/167,Farfetch'd [Colorless] [C - Common] (Reverse Holo),0.39,1.0
133/167,Chansey [Colorless] [C - Common] (Non-Foil),0.39,0.5
133/167,Chansey [Colorless] [C - Common] (Reverse Holo),0.39,1.0
134/167,Blissey ex [Colorless] [RR - Double Rare] (Foil),2.49,3.4
135/167,Eevee [Colorless] [C - Common] (Non-Foil),0.35,0.5
135/167,Eevee [Colorless] [C - Common] (Reverse Holo),0.49,1.0
136/167,Snorlax [Colorless] [U - Uncommon] (Non-Foil),0.25,0.5
136/167,Snorlax [Colorless] [U - Uncommon] (Reverse Holo),0.39,1.0
137/167,Aipom [Colorless] [C - Common] (Non-Foil),0.25,0.5
137/167,Aipom [Colorless] [C - Common] (Reverse Holo),0.39,1.0
138/167,Ambipom [Colorless] [U - Uncommon] (Non-Foil),0.25,0.5
138/167,Ambipom [Colorless] [U - Uncommon] (Reverse Holo),0.49,1.0
139/167,Ducklett [Colorless] [C - Common] (Non-Foil),0.25,0.5
139/167,Ducklett [Colorless] [C - Common] (Reverse Holo),0.35,1.0
140/167,Swanna [Colorless] [U - Uncommon] (Non-Foil),0.25,0.5
140/167,Swanna [Colorless] [U - Uncommon] (Reverse Holo),0.49,1.0
141/167,Bloodmoon Ursaluna ex [Colorless] [RR - Double Rare] (Foil),4.49,6.1
142/167,Accompanying Flute [Item] [U - Uncommon] (Non-Foil),0.49,0.7
142/167,Accompanying Flute [Item] [U - Uncommon] (Reverse Holo),0.29,1.0
143/167,Bug Catching Set [Item] [U - Uncommon] (Non-Foil),0.25,0.5
143/167,Bug Catching Set [Item] [U - Uncommon] (Reverse Holo),0.99,1.3
144/167,Caretaker [Supporter] [U - Uncommon] (Non-Foil),0.25,0.5
144/167,Caretaker [Supporter] [U - Uncommon] (Reverse Holo),0.39,1.0
145/167,Carmine [Supporter] [U - Uncommon] (Non-Foil),0.49,0.7
145/167,Carmine [Supporter] [U - Uncommon] (Reverse Holo),0.49,1.0
146/167,Community Center [Stadium] [U - Uncommon] (Non-Foil),0.25,0.5
146/167,Community Center [Stadium] [U - Uncommon] (Reverse Holo),0.49,1.0
