ID,Name,Price in USD,Price in SGD
146/091,Kilowattrel [Lightning] [SR - Shiny Rare] (Foil),3.49,4.7
147/091,Wigglytuff [Psychic] [SR - Shiny Rare] (Foil),3.99,5.4
148/091,Abra [Psychic] [SR - Shiny Rare] (Foil),5.99,8.1
149/091,Kadabra [Psychic] [SR - Shiny Rare] (Foil),5.99,8.1
150/091,Cleffa [Psychic] [SR - Shiny Rare] (Foil),3.99,5.4
151/091,Natu [Psychic] [SR - Shiny Rare] (Foil),9.99,13.6
152/091,Xatu [Psychic] [SR - Shiny Rare] (Foil),9.99,13.6
153/091,Ralts [Psychic] [SR - Shiny Rare] (Foil),7.49,10.2
154/091,Kirlia [Psychic] [SR - Shiny Rare] (Foil),4.99,6.8
155/091,Drifloon [Psychic] [SR - Shiny Rare] (Foil),10.99,14.9
156/091,Drifblim [Psychic] [SR - Shiny Rare] (Foil),2.99,4.1
157/091,Mime Jr. [Psychic] [SR - Shiny Rare] (Foil),1.99,2.7
158/091,Spiritomb [Psychic] [SR - Shiny Rare] (Foil),7.99,10.9
159/091,Klefki [Psychic] [SR - Shiny Rare] (Foil),6.99,9.5
160/091,Mimikyu [Psychic] [SR - Shiny Rare] (Foil),14.99,20.4
161/091,Dachsbun [Psychic] [SR - Shiny Rare] (Foil),3.99,5.4
162/091,Ceruledge [Psychic] [SR - Shiny Rare] (Foil),4.99,6.8
163/091,Rabsca [Psychic] [SR - Shiny Rare] (Foil),2.99,4.1
164/091,Flittle [Psychic] [SR - Shiny Rare] (Foil),3.49,4.7
165/091,Tinkatink [Psychic] [SR - Shiny Rare] (Foil),4.99,6.8
166/091,Tinkatuff [Psychic] [SR - Shiny Rare] (Foil),4.49,6.1
167/091,Tinkaton [Psychic] [SR - Shiny Rare] (Foil),6.49,8.8
168/091,Houndstone [Psychic] [SR - Shiny Rare] (Foil),2.99,4.1
169/091,Mankey [Fighting] [SR - Shiny Rare] (Foil),3.99,5.4
170/091,Primeape [Fighting] [SR - Shiny Rare] (Foil),3.49,4.7
171/091,Annihilape [Fighting] [SR - Shiny Rare] (Foil),4.49,6.1
172/091,Paldean Tauros [Fighting] [SR - Shiny Rare] (Foil),3.49,4.7
173/091,Riolu [Fighting] [SR - Shiny Rare] (Foil),4.99,6.8
174/091,Lucario [Fighting] [SR - Shiny Rare] (Foil),9.99,13.6
175/091,Hawlucha [Fighting] [SR - Shiny Rare] (Foil),4.99,6.8
176/091,Nacli [Fighting] [SR - Shiny Rare] (Foil),3.49,4.7
177/091,Naclstack [Fighting] [SR - Shiny Rare] (Foil),3.99,5.4
178/091,Garganacl [Fighting] [SR - Shiny Rare] (Foil),4.49,6.1
179/091,Glimmet [Fighting] [SR - Shiny Rare] (Foil),3.49,4.7
180/091,Paldean Wooper [Darkness] [SR - Shiny Rare] (Foil),4.99,6.8
181/091,Murkrow [Darkness] [SR - Shiny Rare] (Foil),4.49,6.1
182/091,Sneasel [Darkness] [SR - Shiny Rare] (Foil),4.99,6.8
183/091,Weavile [Darkness] [SR - Shiny Rare] (Foil),2.99,4.1
184/091,Sableye [Darkness] [SR - Shiny Rare] (Foil),4.99,6.8
185/091,Pawniard [Darkness] [SR - Shiny Rare] (Foil),3.99,5.4
186/091,Bisharp [Darkness] [SR - Shiny Rare] (Foil),3.99,5.4
187/091,Kingambit [Darkness] [SR - Shiny Rare] (Foil),3.29,4.5
188/091,Mabosstiff [Darkness] [SR - Shiny Rare] (Foil),2.49,3.4
189/091,Shroodle [Darkness] [SR - Shiny Rare] (Foil),2.99,4.1
190/091,Grafaiai [Darkness] [SR - Shiny Rare] (Foil),2.29,3.1
191/091,Scizor [Metal] [SR - Shiny Rare] (Foil),6.99,9.5
192/091,Varoom [Metal] [SR - Shiny Rare] (Foil),2.99,4.1
193/091,Revavroom [Metal] [SR - Shiny Rare] (Foil),3.49,4.7
194/091,Noibat [Dragon] [SR - Shiny Rare] (Foil),5.49,7.5
195/091,Cyclizar [Dragon] [SR - Shiny Rare] (Foil),3.49,4.7
196/091,Pidgey [Colorless] [SR - Shiny Rare] (Foil),16.99,23.1
197/091,Pidgeotto [Colorless] [SR - Shiny Rare] (Foil),4.99,6.8
198/091,Jigglypuff [Colorless] [SR - Shiny Rare] (Foil),6.49,8.8
199/091,Doduo [Colorless] [SR - Shiny Rare] (Foil),4.49,6.1
200/091,Dodrio [Colorless] [SR - Shiny Rare] (Foil),4.49,6.1
201/091,Ditto [Colorless] [SR - Shiny Rare] (Foil),14.99,20.4
202/091,Snorlax [Colorless] [SR - Shiny Rare] (Foil),17.99,24.5
203/091,Wingull [Colorless] [SR - Shiny Rare] (Foil),3.49,4.7
204/091,Pelipper [Colorless] [SR - Shiny Rare] (Foil),2.99,4.1
205/091,Skwovet [Colorless] [SR - Shiny Rare] (Foil),5.99,8.1
206/091,Greedent [Colorless] [SR - Shiny Rare] (Foil),2.29,3.1
207/091,Lechonk [Colorless] [SR - Shiny Rare] (Foil),5.99,8.1
208/091,Oinkolonge [Colorless] [SR - Shiny Rare] (Foil),3.49,4.7
209/091,Tandemaus [Colorless] [SR - Shiny Rare] (Foil),5.49,7.5
210/091,Maushold [Colorless] [SR - Shiny Rare] (Foil),4.49,6.1
211/091,Flamigo [Colorless] [SR - Shiny Rare] (Foil),4.99,6.8
212/091,Forrestress ex [Grass] [SUR - Shiny Ultra Rare] (Foil),1.49,2.0
213/091,Toedscruel ex [Grass] [SUR - Shiny Ultra Rare] (Foil),1.49,2.0
214/091,Espathra [Grass] [SUR - Shiny Ultra Rare] (Foil),1.99,2.7
215/091,Alakazam ex [Psychic] [SUR - Shiny Ultra Rare] (Foil),1.99,2.7
216/091,Mew ex [Psychic] [SUR - Shiny Ultra Rare] (Foil),8.99,12.2
217/091,Gardevoir ex [Psychic] [SUR - Shiny Ultra Rare] (Foil),3.99,5.4
218/091,Glimmora ex [Fighting] [SUR - Shiny Ultra Rare] (Foil),1.49,2.0
219/091,Paldean Clodsire ex [Darkness] [SUR - Shiny Ultra Rare] (Foil),1.49,2.0
220/091,Noivern ex [Dragon] [SUR - Shiny Ultra Rare] (Foil),1.49,2.0
221/091,Pidgeot ex [Colorless] [SUR - Shiny Ultra Rare] (Foil),10.99,14.9
222/091,Wigglytufff ex [Colorless] [SUR - Shiny Ultra Rare] (Foil),1.49,2.0
223/091,Squawkabilly ex [Colorless] [SUR - Shiny Ultra Rare] (Foil),1.79,2.4
224/091,Wugtrio [Water] [IR - Illustration Rare] (Foil),0.75,1.0
225/091,Palafin [Water] [IR - Illustration Rare] (Foil),0.75,1.0
226/091,Pawmi [Lightning] [IR - Illustration Rare] (Foil),0.79,1.1
227/091,Clive [Supporter] [UR - Ultra Rare] (Foil),1.49,2.0
228/091,Judge [Supporter] [UR - Ultra Rare] (Foil),1.09,1.5
229/091,Nemona [Supporter] [UR - Ultra Rare] (Foil),0.99,1.3
230/091,Paldean Student [Supporter] [UR - Ultra Rare] (Foil),0.99,1.3
231/091,Paldean Student [Supporter] [UR - Ultra Rare] (Foil),1.49,2.0
232/091,Mew ex [Psychic] [SIR - Special Illustration Rare] (Foil),94.99,129.1
233/091,Gardevoir ex [Psychic] [SIR - Special Illustration Rare] (Foil),57.99,78.8
234/091,Charizard ex [Darkness] [SIR - Special Illustration Rare] (Foil),134.99,183.5
235/091,Arven [Supporter] [SIR - Special Illustration Rare] (Foil),16.99,23.1
236/091,Clive [Supporter] [SIR - Special Illustration Rare] (Foil),12.99,17.7
237/091,Iono [Supporter] [SIR - Special Illustration Rare] (Foil),32.99,44.8
238/091,Nemona [Supporter] [SIR - Special Illustration Rare] (Foil),6.99,9.5
239/091,Penny [Supporter] [SIR - Special Illustration Rare] (Foil),15.99,21.7
240/091,Wo-Chien ex [Grass] [HR - Hyper Rare] (Foil),8.99,12.2
241/091,Chi-Yu ex [Fire] [HR - Hyper Rare] (Foil),10.99,14.9
242/091,Chien-Pao ex [Water] [HR - Hyper Rare] (Foil),14.99,20.4
243/091,Miraidon ex [Lightning] [HR - Hyper Rare] (Foil),9.99,13.6
244/091,Ting-Lu ex [Fighting] [HR - Hyper Rare] (Foil),7.49,10.2
245/091,Koraidon ex [Fighting] [HR - Hyper Rare] (Foil),13.99,19.0
